id,language,key,value,created_at,updated_at
00551836-df66-4ed6-a427-186ba2d17996,en,categories.reference,Reference,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
00ce2159-2521-4912-9e8e-dc4833f376a7,en,common.error,An error occurred,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
00d9199b-786f-49a3-8932-4e353f64f2ed,en,category.clearFilters,Clear all filters,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
01810dd0-b0b0-4eb4-8d30-bb7e29fcbbf4,pt-BR,profile.accountInfo.email,Email,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
01e1490e-8e97-41b8-ab01-05d27c6e81f8,pt-BR,comments.noComments,Nenhum comentário ainda. Seja o primeiro a comentar!,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
022b98af-d759-43e0-9044-a18bbc1dd9ea,pt-BR,resource.details,Detalhes,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
026b75fa-bce5-4c28-a354-aff745a70889,pt-BR,common.backToHome,Voltar para a Página Inicial,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
0386b9d0-74fe-4299-87cc-09c0ef9f8600,en,categories.learn,Learn,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
03b3804f-2505-477f-823a-51ff7c51e2ad,pt-BR,tags.tools,ferramentas,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
040d060c-7b72-4b57-aa47-d6284d5022d1,pt-BR,status.tables.status,Status,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
04805d84-bb1f-4a2d-ae3a-e1c1f8ff9379,pt-BR,ui.retry,Tentar novamente,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
04b92025-34fd-4016-b9e4-1499fbdee3ab,pt-BR,home.tags.trending,Tags em alta,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
054544e1-f050-44a6-8b36-950d4ce42a2f,pt-BR,home.filters.selected,selecionados,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
059e4185-d099-45ae-aac3-2635b756c604,pt-BR,status.server.responseTime,Tempo de Resposta,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
06bebbc7-3132-401b-8c72-05f3bb482c31,pt-BR,submit.title,Enviar um Recurso,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
07c6a972-8090-4eaf-85ad-3e8e8fc97193,pt,common.search,Buscar recursos...,2025-03-10 20:53:46.593206+00,2025-03-10 20:53:46.593206+00
08792709-642c-4cb7-9d04-580d4ac9ac04,pt-BR,ui.optional,Opcional,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
0896f31d-c68b-4b8b-82a4-400c1aa0e283,en,home.stats.categories,Categories,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
09076785-b6a3-43b6-8302-c89548f5b4a8,en,editProfile.errors.connection,Could not connect to database. Please check your internet connection.,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
09b23654-68c6-49a1-b04c-628f56a2553a,pt-BR,common.loadMore,Mostrar mais,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
0a3fe1a1-7486-4f38-9848-e2c33b03bbe5,en,ui.add,Add,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0ad08702-9fb9-4643-a248-1c4175f4e776,pt-BR,editProfile.errors.title,Erro ao Carregar Perfil,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
0b440a15-36a3-4ca0-b614-d031c050cef2,pt-BR,resource.likes,Curtidas,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
0bcfc1c6-fff1-4b81-ac68-c0358bb03c4a,en,profile.accountInfo.title,Account Information,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
0bd5382b-3891-41ea-af45-25e02c7c6afd,pt-BR,resource.category,Categoria,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
0c212be8-1a6d-4ab3-86ea-1af9a6bf94ea,en,home.tags.all,All tags,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0c6be100-fc4d-456f-8fb8-3425b2d9f75e,en,ui.filter,Filter,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0c9509da-1ec0-4620-bac6-a1e29b70e864,pt,common.editProfile,Editar Perfil,2025-03-10 20:53:46.593206+00,2025-03-10 20:53:46.593206+00
0cc0d037-4a65-42f1-b921-67f0e1bc9f82,en,favorites.signInPrompt,Sign in to save and view your favorite resources.,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
0cf84a42-e688-43de-90a1-214089765276,en,home.filters.selected,selected,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0d57b23f-5a3e-46fb-bb2f-fa0fbbacab83,en,editProfile.form.save,Save Changes,2025-03-10 22:35:19.634073+00,2025-03-10 22:35:19.634073+00
0d60f5c2-3501-4459-9efc-99f4383a1d4d,en,home.categories.community,Community,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0d9fedcb-acd0-47a1-b5c3-627dc8ceeb05,pt,home.search.submit,Buscar,2025-03-11 17:39:32.213919+00,2025-03-11 17:39:32.213919+00
0da65bc2-a5bd-4563-897d-0218deaccc92,en,category.filters.clear,Clear all filters,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
0dc763a2-2485-42d4-a211-94f43493bed0,en,home.sections.trending,Trending Now,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0e0353c4-cd7f-491a-9a4b-2589647ce0f4,pt-BR,ui.search,Pesquisar,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
0e2594e9-8438-48b7-acec-7e5802a58d1a,en,common.share,Share,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
0e5849ff-bf42-4c82-865c-c8cc445147f6,en,submit.form.tagsHelp,"Separate tags with commas (e.g., design, tools, productivity)",2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
